TaxName	species	Abundance_per_rank_RawFile	SampleCategory	RawFile
Campylobacter concisus	199	20.0	Caries	Caries-E07
Leptotrichia goodfellowii	157692	20.0	Caries	Caries-E07
Streptococcus cristatus	45634	20.0	Caries	Caries-E07
Lachnospiraceae bacterium oral taxon 500	712991	20.0	Caries	Caries-E07
Capnocytophaga sp. oral taxon 329	706435	20.0	Caries	Caries-E07
Prevotella nigrescens	28133	20.0	Caries	Caries-E07
Alloprevotella rava	671218	20.0	Caries	Caries-E07
Fusobacterium sp. oral taxon 370	712288	20.0	Caries	Caries-E07
Actinomyces massiliensis	461393	20.0	Caries	Caries-E07
Selenomonas sp. oral taxon 138	712532	20.0	Caries	Caries-E07
Prevotella saccharolytica	633701	20.0	Caries	Caries-E07
Bacteroides pyogenes	310300	20.0	Caries	Caries-E07
Prevotella baroniae	305719	20.0	Caries	Caries-E07
Actinomyces timonensis	1288391	20.0	Caries	Caries-E07
Mycoplasma salivarium	2124	20.0	Caries	Caries-E07
Prevotella multisaccharivorax	310514	20.0	Caries	Caries-E07
Mycoplasma mycoides	2102	20.0	Caries	Caries-E07
Aggregatibacter aphrophilus	732	19.84692	Caries	Caries-E07
Rothia mucilaginosa	43675	1376.11664	Caries	Caries-E08
Haemophilus parainfluenzae	729	731.66754	Caries	Caries-E08
Prevotella histicola	470565	709.57247	Caries	Caries-E08
Veillonella atypica	39777	565.13167	Caries	Caries-E08
Prevotella melaninogenica	28132	559.01481	Caries	Caries-E08
Streptococcus salivarius	1304	493.3272	Caries	Caries-E08
Veillonella dispar	39778	403.84558	Caries	Caries-E08
Prevotella sp. oral taxon 473	712469	384.35441	Caries	Caries-E08
Prevotella pallens	60133	370.1484	Caries	Caries-E08
Streptococcus parasanguinis	1318	317.01466	Caries	Caries-E08
Stomatobaculum longum	796942	314.39615	Caries	Caries-E08
Streptococcus mitis	28037	287.08697	Caries	Caries-E08
Neisseria mucosa	488	283.92848	Caries	Caries-E08
Veillonella sp. oral taxon 158	671228	240.46635	Caries	Caries-E08
Actinomyces graevenitzii	55565	240.0	Caries	Caries-E08
Fusobacterium periodonticum	860	221.95945	Caries	Caries-E08
Leptotrichia wadei	157687	214.83654	Caries	Caries-E08
Porphyromonas sp. oral taxon 279	712438	208.70562	Caries	Caries-E08
Leptotrichia sp. oral taxon 215	712359	176.82229	Caries	Caries-E08
Actinomyces sp. oral taxon 172	712118	165.20622	Caries	Caries-E08
Gemella sanguinis	84135	162.36708	Caries	Caries-E08
Oribacterium sinus	237576	146.61735	Caries	Caries-E08
Streptococcus infantis	68892	146.38263	Caries	Caries-E08
candidate division TM7 single-cell isolate TM7a	447454	126.7327	Caries	Caries-E08
Corynebacterium matruchotii	43768	105.72333	Caries	Caries-E08
Neisseria subflava	28449	89.97604	Caries	Caries-E08
Actinomyces odontolyticus	1660	87.24929	Caries	Caries-E08
Lachnospiraceae bacterium oral taxon 082	712976	85.82322	Caries	Caries-E08
Leptotrichia shahii	157691	84.56674	Caries	Caries-E08
Megasphaera micronuciformis	187326	84.54693	Caries	Caries-E08
Fusobacterium nucleatum	851	74.9364	Caries	Caries-E08
Peptostreptococcus stomatis	341694	64.482	Caries	Caries-E08
Selenomonas sp. oral taxon 149	712535	60.0	Caries	Caries-E08
Tannerella sp. oral taxon BU063	712710	60.0	Caries	Caries-E08
Prevotella scopos	589437	51.05959	Caries	Caries-E08
Leptotrichia buccalis	40542	47.7474	Caries	Caries-E08
Prevotella buccalis	28127	47.47585	Caries	Caries-E08
Selenomonas sputigena	69823	45.33401	Caries	Caries-E08
Granulicatella adiacens	46124	45.26441	Caries	Caries-E08
Gemella haemolysans	1379	44.5889	Caries	Caries-E08
Polynucleobacter necessarius	576610	44.17956	Caries	Caries-E08
Streptococcus australis	113107	41.06192	Caries	Caries-E08
Porphyromonas gingivalis	837	40.0	Caries	Caries-E08
Atopobium parvulum	1382	40.0	Caries	Caries-E08
Lachnoanaerobaculum saburreum	467210	40.0	Caries	Caries-E08
Prevotella sp. oral taxon 299	652716	28.04899	Caries	Caries-E08
Bacteroides pyogenes	310300	25.41225	Caries	Caries-E08
Streptococcus oligofermentans	195041	25.02127	Caries	Caries-E08
Prevotella saccharolytica	633701	24.92397	Caries	Caries-E08
Capnocytophaga sp. oral taxon 329	706435	24.65013	Caries	Caries-E08
Prevotella multisaccharivorax	310514	24.49833	Caries	Caries-E08
Lachnospiraceae bacterium oral taxon 500	712991	24.37733	Caries	Caries-E08
Alloprevotella tannerae	76122	23.6161	Caries	Caries-E08
Selenomonas sp. oral taxon 138	712532	23.43396	Caries	Caries-E08
Aggregatibacter aphrophilus	732	23.35975	Caries	Caries-E08
Prevotella baroniae	305719	22.78549	Caries	Caries-E08
Prevotella sp. oral taxon 306	712461	22.61567	Caries	Caries-E08
Prevotella veroralis	28137	22.36551	Caries	Caries-E08
Abiotrophia defectiva	46125	21.98868	Caries	Caries-E08
Actinomyces sp. oral taxon 180	651609	21.90806	Caries	Caries-E08
Neisseria meningitidis	487	20.0	Caries	Caries-E08
Streptococcus gordonii	1302	20.0	Caries	Caries-E08
Veillonella parvula	29466	20.0	Caries	Caries-E08
Filifactor alocis	143361	20.0	Caries	Caries-E08
Campylobacter concisus	199	20.0	Caries	Caries-E08
Selenomonas flueggei	135080	20.0	Caries	Caries-E08
Leptotrichia goodfellowii	157692	20.0	Caries	Caries-E08
Prevotella oris	28135	20.0	Caries	Caries-E08
Prevotella salivae	228604	20.0	Caries	Caries-E08
Streptococcus cristatus	45634	20.0	Caries	Caries-E08
Prevotella nigrescens	28133	20.0	Caries	Caries-E08
Alloprevotella rava	671218	20.0	Caries	Caries-E08
Fusobacterium sp. oral taxon 370	712288	20.0	Caries	Caries-E08
Actinomyces massiliensis	461393	20.0	Caries	Caries-E08
Actinomyces timonensis	1288391	20.0	Caries	Caries-E08
Mycoplasma salivarium	2124	20.0	Caries	Caries-E08
Mycoplasma mycoides	2102	20.0	Caries	Caries-E08
Rothia mucilaginosa	43675	1247.77367	Caries	Caries-E09
Prevotella histicola	470565	675.50896	Caries	Caries-E09
Haemophilus parainfluenzae	729	661.73682	Caries	Caries-E09
Veillonella atypica	39777	546.64517	Caries	Caries-E09
Prevotella melaninogenica	28132	480.15307	Caries	Caries-E09
Streptococcus salivarius	1304	478.46795	Caries	Caries-E09
Veillonella dispar	39778	383.16609	Caries	Caries-E09
Prevotella pallens	60133	360.0	Caries	Caries-E09
Prevotella sp. oral taxon 473	712469	348.38617	Caries	Caries-E09
Streptococcus parasanguinis	1318	314.95874	Caries	Caries-E09
Stomatobaculum longum	796942	309.78479	Caries	Caries-E09
Neisseria mucosa	488	307.5817	Caries	Caries-E09
Streptococcus mitis	28037	273.72822	Caries	Caries-E09
Actinomyces graevenitzii	55565	253.20932	Caries	Caries-E09
Veillonella sp. oral taxon 158	671228	238.46448	Caries	Caries-E09
Leptotrichia wadei	157687	236.72331	Caries	Caries-E09
Porphyromonas sp. oral taxon 279	712438	204.07205	Caries	Caries-E09
Fusobacterium periodonticum	860	202.2993	Caries	Caries-E09
Actinomyces sp. oral taxon 172	712118	169.55931	Caries	Caries-E09
Leptotrichia sp. oral taxon 215	712359	162.67076	Caries	Caries-E09
Gemella sanguinis	84135	151.43694	Caries	Caries-E09
Streptococcus infantis	68892	143.16882	Caries	Caries-E09
candidate division TM7 single-cell isolate TM7a	447454	133.24893	Caries	Caries-E09
Oribacterium sinus	237576	129.68538	Caries	Caries-E09
Neisseria subflava	28449	111.2695	Caries	Caries-E09
Corynebacterium matruchotii	43768	100.0	Caries	Caries-E09
Actinomyces odontolyticus	1660	93.20701	Caries	Caries-E09
Lachnospiraceae bacterium oral taxon 082	712976	84.95842	Caries	Caries-E09
Leptotrichia shahii	157691	84.16057	Caries	Caries-E09
Megasphaera micronuciformis	187326	80.0	Caries	Caries-E09
Selenomonas sp. oral taxon 149	712535	65.75913	Caries	Caries-E09
Fusobacterium nucleatum	851	63.8555	Caries	Caries-E09
Peptostreptococcus stomatis	341694	60.0	Caries	Caries-E09
Tannerella sp. oral taxon BU063	712710	60.0	Caries	Caries-E09
Gemella haemolysans	1379	49.22364	Caries	Caries-E09
Leptotrichia buccalis	40542	47.57878	Caries	Caries-E09
Prevotella scopos	589437	45.7361	Caries	Caries-E09
Granulicatella adiacens	46124	42.76029	Caries	Caries-E09
Streptococcus australis	113107	42.66003	Caries	Caries-E09
Porphyromonas gingivalis	837	40.0	Caries	Caries-E09
Atopobium parvulum	1382	40.0	Caries	Caries-E09
Selenomonas sputigena	69823	40.0	Caries	Caries-E09
Prevotella buccalis	28127	40.0	Caries	Caries-E09
Lachnoanaerobaculum saburreum	467210	40.0	Caries	Caries-E09
Polynucleobacter necessarius	576610	40.0	Caries	Caries-E09
Prevotella sp. oral taxon 299	652716	25.89983	Caries	Caries-E09
Abiotrophia defectiva	46125	25.49225	Caries	Caries-E09
Streptococcus oligofermentans	195041	24.16551	Caries	Caries-E09
Selenomonas flueggei	135080	24.0397	Caries	Caries-E09
Bacteroides pyogenes	310300	22.93443	Caries	Caries-E09
Mycoplasma mycoides	2102	22.43197	Caries	Caries-E09
Lachnospiraceae bacterium oral taxon 500	712991	22.22173	Caries	Caries-E09
Prevotella veroralis	28137	21.80186	Caries	Caries-E09
Actinomyces sp. oral taxon 180	651609	21.29832	Caries	Caries-E09
Neisseria meningitidis	487	20.0	Caries	Caries-E09
Streptococcus gordonii	1302	20.0	Caries	Caries-E09
Veillonella parvula	29466	20.0	Caries	Caries-E09
Filifactor alocis	143361	20.0	Caries	Caries-E09
Campylobacter concisus	199	20.0	Caries	Caries-E09
Alloprevotella tannerae	76122	20.0	Caries	Caries-E09
Leptotrichia goodfellowii	157692	20.0	Caries	Caries-E09
Prevotella oris	28135	20.0	Caries	Caries-E09
Prevotella salivae	228604	20.0	Caries	Caries-E09
Streptococcus cristatus	45634	20.0	Caries	Caries-E09
Capnocytophaga sp. oral taxon 329	706435	20.0	Caries	Caries-E09
Prevotella nigrescens	28133	20.0	Caries	Caries-E09
Aggregatibacter aphrophilus	732	20.0	Caries	Caries-E09
Alloprevotella rava	671218	20.0	Caries	Caries-E09
Fusobacterium sp. oral taxon 370	712288	20.0	Caries	Caries-E09
Prevotella sp. oral taxon 306	712461	20.0	Caries	Caries-E09
Actinomyces massiliensis	461393	20.0	Caries	Caries-E09
Selenomonas sp. oral taxon 138	712532	20.0	Caries	Caries-E09
Prevotella saccharolytica	633701	20.0	Caries	Caries-E09
Prevotella baroniae	305719	20.0	Caries	Caries-E09
Actinomyces timonensis	1288391	20.0	Caries	Caries-E09
Mycoplasma salivarium	2124	20.0	Caries	Caries-E09
Prevotella multisaccharivorax	310514	20.0	Caries	Caries-E09
Rothia mucilaginosa	43675	1290.23399	Caries	Caries-E10
Prevotella histicola	470565	854.0328	Caries	Caries-E10
Veillonella atypica	39777	680.39504	Caries	Caries-E10
Haemophilus parainfluenzae	729	638.68451	Caries	Caries-E10
Prevotella melaninogenica	28132	563.81267	Caries	Caries-E10
Streptococcus salivarius	1304	532.94476	Caries	Caries-E10
Veillonella dispar	39778	464.34475	Caries	Caries-E10
Stomatobaculum longum	796942	386.83259	Caries	Caries-E10
Prevotella sp. oral taxon 473	712469	386.77672	Caries	Caries-E10
Prevotella pallens	60133	372.17398	Caries	Caries-E10
Streptococcus parasanguinis	1318	333.65404	Caries	Caries-E10
Actinomyces graevenitzii	55565	287.11533	Caries	Caries-E10
Neisseria mucosa	488	280.0	Caries	Caries-E10
Streptococcus mitis	28037	268.98526	Caries	Caries-E10
Veillonella sp. oral taxon 158	671228	252.22483	Caries	Caries-E10
Leptotrichia wadei	157687	204.63012	Caries	Caries-E10
Actinomyces sp. oral taxon 172	712118	192.68186	Caries	Caries-E10
Porphyromonas sp. oral taxon 279	712438	184.06222	Caries	Caries-E10
Fusobacterium periodonticum	860	180.66086	Caries	Caries-E10
Leptotrichia sp. oral taxon 215	712359	164.62977	Caries	Caries-E10
Gemella sanguinis	84135	160.0498	Caries	Caries-E10
Streptococcus infantis	68892	149.86011	Caries	Caries-E10
Oribacterium sinus	237576	131.53802	Caries	Caries-E10
candidate division TM7 single-cell isolate TM7a	447454	125.15196	Caries	Caries-E10
Megasphaera micronuciformis	187326	105.86911	Caries	Caries-E10
Corynebacterium matruchotii	43768	105.53486	Caries	Caries-E10
Actinomyces odontolyticus	1660	97.05218	Caries	Caries-E10
Lachnospiraceae bacterium oral taxon 082	712976	92.36351	Caries	Caries-E10
Neisseria subflava	28449	80.0	Caries	Caries-E10
Leptotrichia shahii	157691	80.0	Caries	Caries-E10
Selenomonas sp. oral taxon 149	712535	66.39519	Caries	Caries-E10
Peptostreptococcus stomatis	341694	63.74585	Caries	Caries-E10
Fusobacterium nucleatum	851	60.22328	Caries	Caries-E10
Tannerella sp. oral taxon BU063	712710	60.0	Caries	Caries-E10
Prevotella scopos	589437	57.47319	Caries	Caries-E10
Atopobium parvulum	1382	47.49264	Caries	Caries-E10
Selenomonas sputigena	69823	46.50666	Caries	Caries-E10
Granulicatella adiacens	46124	46.39408	Caries	Caries-E10
Leptotrichia buccalis	40542	44.82554	Caries	Caries-E10
Polynucleobacter necessarius	576610	43.81684	Caries	Caries-E10
Prevotella buccalis	28127	43.30042	Caries	Caries-E10
Gemella haemolysans	1379	43.17481	Caries	Caries-E10
Streptococcus australis	113107	41.75063	Caries	Caries-E10
Porphyromonas gingivalis	837	40.0	Caries	Caries-E10
Lachnoanaerobaculum saburreum	467210	40.0	Caries	Caries-E10
Prevotella sp. oral taxon 306	712461	27.59461	Caries	Caries-E10
Prevotella sp. oral taxon 299	652716	27.46247	Caries	Caries-E10
Alloprevotella rava	671218	26.83583	Caries	Caries-E10
Prevotella oris	28135	26.34573	Caries	Caries-E10
Selenomonas flueggei	135080	25.81276	Caries	Caries-E10
Streptococcus oligofermentans	195041	25.29451	Caries	Caries-E10
Prevotella multisaccharivorax	310514	25.01067	Caries	Caries-E10
Streptococcus gordonii	1302	24.47454	Caries	Caries-E10
Actinomyces sp. oral taxon 180	651609	24.04371	Caries	Caries-E10
Prevotella veroralis	28137	23.96037	Caries	Caries-E10
Actinomyces massiliensis	461393	23.94893	Caries	Caries-E10
Prevotella baroniae	305719	23.65806	Caries	Caries-E10
Prevotella salivae	228604	22.35061	Caries	Caries-E10
Veillonella parvula	29466	22.34576	Caries	Caries-E10
Leptotrichia goodfellowii	157692	22.31934	Caries	Caries-E10
Neisseria meningitidis	487	20.0	Caries	Caries-E10
Filifactor alocis	143361	20.0	Caries	Caries-E10
Campylobacter concisus	199	20.0	Caries	Caries-E10
Abiotrophia defectiva	46125	20.0	Caries	Caries-E10
Alloprevotella tannerae	76122	20.0	Caries	Caries-E10
Streptococcus cristatus	45634	20.0	Caries	Caries-E10
Lachnospiraceae bacterium oral taxon 500	712991	20.0	Caries	Caries-E10
Capnocytophaga sp. oral taxon 329	706435	20.0	Caries	Caries-E10
Prevotella nigrescens	28133	20.0	Caries	Caries-E10
Aggregatibacter aphrophilus	732	20.0	Caries	Caries-E10
Fusobacterium sp. oral taxon 370	712288	20.0	Caries	Caries-E10
Selenomonas sp. oral taxon 138	712532	20.0	Caries	Caries-E10
Prevotella saccharolytica	633701	20.0	Caries	Caries-E10
Bacteroides pyogenes	310300	20.0	Caries	Caries-E10
Actinomyces timonensis	1288391	20.0	Caries	Caries-E10
Mycoplasma salivarium	2124	20.0	Caries	Caries-E10
Mycoplasma mycoides	2102	20.0	Caries	Caries-E10
Rothia mucilaginosa	43675	1270.15141	Caries	Caries-E11
Prevotella histicola	470565	705.03515	Caries	Caries-E11
Haemophilus parainfluenzae	729	660.80888	Caries	Caries-E11
Veillonella atypica	39777	569.42862	Caries	Caries-E11
Prevotella melaninogenica	28132	506.82227	Caries	Caries-E11
Streptococcus salivarius	1304	492.51036	Caries	Caries-E11
Veillonella dispar	39778	401.06167	Caries	Caries-E11
Prevotella pallens	60133	368.29254	Caries	Caries-E11
Prevotella sp. oral taxon 473	712469	363.04496	Caries	Caries-E11
Neisseria mucosa	488	333.50213	Caries	Caries-E11
Stomatobaculum longum	796942	323.50768	Caries	Caries-E11
Streptococcus parasanguinis	1318	314.28404	Caries	Caries-E11
Streptococcus mitis	28037	279.21034	Caries	Caries-E11
Actinomyces graevenitzii	55565	256.47736	Caries	Caries-E11
Veillonella sp. oral taxon 158	671228	244.96446	Caries	Caries-E11
Leptotrichia wadei	157687	232.71767	Caries	Caries-E11
Fusobacterium periodonticum	860	201.09708	Caries	Caries-E11
Porphyromonas sp. oral taxon 279	712438	196.60714	Caries	Caries-E11
Actinomyces sp. oral taxon 172	712118	174.87326	Caries	Caries-E11
Leptotrichia sp. oral taxon 215	712359	162.02014	Caries	Caries-E11
Streptococcus infantis	68892	151.71095	Caries	Caries-E11
Gemella sanguinis	84135	151.22364	Caries	Caries-E11
Oribacterium sinus	237576	140.56456	Caries	Caries-E11
candidate division TM7 single-cell isolate TM7a	447454	127.57005	Caries	Caries-E11
Neisseria subflava	28449	109.0346	Caries	Caries-E11
Corynebacterium matruchotii	43768	100.0	Caries	Caries-E11
Actinomyces odontolyticus	1660	94.46884	Caries	Caries-E11
Leptotrichia shahii	157691	90.64971	Caries	Caries-E11
Lachnospiraceae bacterium oral taxon 082	712976	89.81948	Caries	Caries-E11
Megasphaera micronuciformis	187326	83.17844	Caries	Caries-E11
Selenomonas sp. oral taxon 149	712535	71.84925	Caries	Caries-E11
Fusobacterium nucleatum	851	65.83875	Caries	Caries-E11
Peptostreptococcus stomatis	341694	60.0	Caries	Caries-E11
Tannerella sp. oral taxon BU063	712710	60.0	Caries	Caries-E11
Selenomonas sputigena	69823	48.64436	Caries	Caries-E11
Prevotella scopos	589437	48.37793	Caries	Caries-E11
Leptotrichia buccalis	40542	47.57383	Caries	Caries-E11
Prevotella buccalis	28127	47.22424	Caries	Caries-E11
Granulicatella adiacens	46124	43.60899	Caries	Caries-E11
Porphyromonas gingivalis	837	40.0	Caries	Caries-E11
Atopobium parvulum	1382	40.0	Caries	Caries-E11
Gemella haemolysans	1379	40.0	Caries	Caries-E11
Lachnoanaerobaculum saburreum	467210	40.0	Caries	Caries-E11
Streptococcus australis	113107	40.0	Caries	Caries-E11
Polynucleobacter necessarius	576610	40.0	Caries	Caries-E11
Selenomonas flueggei	135080	27.76374	Caries	Caries-E11
Prevotella sp. oral taxon 299	652716	26.60052	Caries	Caries-E11
Streptococcus cristatus	45634	26.16607	Caries	Caries-E11
Alloprevotella rava	671218	26.05946	Caries	Caries-E11
Streptococcus oligofermentans	195041	25.2567	Caries	Caries-E11
Capnocytophaga sp. oral taxon 329	706435	24.68316	Caries	Caries-E11
Bacteroides pyogenes	310300	24.01076	Caries	Caries-E11
Prevotella veroralis	28137	23.42169	Caries	Caries-E11
Lachnospiraceae bacterium oral taxon 500	712991	23.42	Caries	Caries-E11
Mycoplasma mycoides	2102	22.11082	Caries	Caries-E11
Prevotella oris	28135	21.75972	Caries	Caries-E11
Prevotella salivae	228604	21.62748	Caries	Caries-E11
Actinomyces sp. oral taxon 180	651609	21.23477	Caries	Caries-E11
Prevotella saccharolytica	633701	21.11836	Caries	Caries-E11
Aggregatibacter aphrophilus	732	20.4504	Caries	Caries-E11
Neisseria meningitidis	487	20.0	Caries	Caries-E11
Streptococcus gordonii	1302	20.0	Caries	Caries-E11
Veillonella parvula	29466	20.0	Caries	Caries-E11
Filifactor alocis	143361	20.0	Caries	Caries-E11
Campylobacter concisus	199	20.0	Caries	Caries-E11
Abiotrophia defectiva	46125	20.0	Caries	Caries-E11
Alloprevotella tannerae	76122	20.0	Caries	Caries-E11
Leptotrichia goodfellowii	157692	20.0	Caries	Caries-E11
Prevotella nigrescens	28133	20.0	Caries	Caries-E11
Fusobacterium sp. oral taxon 370	712288	20.0	Caries	Caries-E11
Prevotella sp. oral taxon 306	712461	20.0	Caries	Caries-E11
Actinomyces massiliensis	461393	20.0	Caries	Caries-E11
Selenomonas sp. oral taxon 138	712532	20.0	Caries	Caries-E11
Prevotella baroniae	305719	20.0	Caries	Caries-E11
Actinomyces timonensis	1288391	20.0	Caries	Caries-E11
Mycoplasma salivarium	2124	20.0	Caries	Caries-E11
Prevotella multisaccharivorax	310514	20.0	Caries	Caries-E11
Rothia mucilaginosa	43675	1280.48309	Healthy	Healthy-E01
Prevotella histicola	470565	701.5628	Healthy	Healthy-E01
Haemophilus parainfluenzae	729	680.93723	Healthy	Healthy-E01
Veillonella atypica	39777	561.46498	Healthy	Healthy-E01
Prevotella melaninogenica	28132	509.03716	Healthy	Healthy-E01
Streptococcus salivarius	1304	505.08842	Healthy	Healthy-E01
Veillonella dispar	39778	381.40906	Healthy	Healthy-E01
Prevotella pallens	60133	373.94674	Healthy	Healthy-E01
Prevotella sp. oral taxon 473	712469	356.78533	Healthy	Healthy-E01
Streptococcus parasanguinis	1318	330.85352	Healthy	Healthy-E01
Neisseria mucosa	488	328.98704	Healthy	Healthy-E01
Stomatobaculum longum	796942	311.61967	Healthy	Healthy-E01
Streptococcus mitis	28037	281.71097	Healthy	Healthy-E01
Veillonella sp. oral taxon 158	671228	244.01957	Healthy	Healthy-E01
Actinomyces graevenitzii	55565	240.0	Healthy	Healthy-E01
Leptotrichia wadei	157687	213.92982	Healthy	Healthy-E01
Fusobacterium periodonticum	860	197.07063	Healthy	Healthy-E01
Porphyromonas sp. oral taxon 279	712438	190.93228	Healthy	Healthy-E01
Actinomyces sp. oral taxon 172	712118	180.25477	Healthy	Healthy-E01
Leptotrichia sp. oral taxon 215	712359	166.17878	Healthy	Healthy-E01
Gemella sanguinis	84135	151.02739	Healthy	Healthy-E01
Streptococcus infantis	68892	140.0	Healthy	Healthy-E01
candidate division TM7 single-cell isolate TM7a	447454	129.94713	Healthy	Healthy-E01
Oribacterium sinus	237576	125.62172	Healthy	Healthy-E01
Neisseria subflava	28449	110.08162	Healthy	Healthy-E01
Corynebacterium matruchotii	43768	100.0	Healthy	Healthy-E01
Actinomyces odontolyticus	1660	88.25008	Healthy	Healthy-E01
Leptotrichia shahii	157691	86.53626	Healthy	Healthy-E01
Lachnospiraceae bacterium oral taxon 082	712976	85.45805	Healthy	Healthy-E01
Megasphaera micronuciformis	187326	81.34301	Healthy	Healthy-E01
Fusobacterium nucleatum	851	65.98887	Healthy	Healthy-E01
Selenomonas sp. oral taxon 149	712535	65.63422	Healthy	Healthy-E01
Peptostreptococcus stomatis	341694	61.31659	Healthy	Healthy-E01
Tannerella sp. oral taxon BU063	712710	60.0	Healthy	Healthy-E01
Prevotella scopos	589437	51.27144	Healthy	Healthy-E01
Streptococcus australis	113107	49.95873	Healthy	Healthy-E01
Leptotrichia buccalis	40542	46.44932	Healthy	Healthy-E01
Granulicatella adiacens	46124	45.57367	Healthy	Healthy-E01
Selenomonas sputigena	69823	42.15993	Healthy	Healthy-E01
Porphyromonas gingivalis	837	40.90082	Healthy	Healthy-E01
Atopobium parvulum	1382	40.53901	Healthy	Healthy-E01
Gemella haemolysans	1379	40.0	Healthy	Healthy-E01
Prevotella buccalis	28127	40.0	Healthy	Healthy-E01
Lachnoanaerobaculum saburreum	467210	40.0	Healthy	Healthy-E01
Polynucleobacter necessarius	576610	40.0	Healthy	Healthy-E01
Mycoplasma salivarium	2124	26.89616	Healthy	Healthy-E01
Prevotella sp. oral taxon 299	652716	25.75389	Healthy	Healthy-E01
Neisseria meningitidis	487	25.71097	Healthy	Healthy-E01
Streptococcus oligofermentans	195041	25.15765	Healthy	Healthy-E01
Selenomonas flueggei	135080	24.72499	Healthy	Healthy-E01
Lachnospiraceae bacterium oral taxon 500	712991	23.73279	Healthy	Healthy-E01
Prevotella sp. oral taxon 306	712461	23.43985	Healthy	Healthy-E01
Streptococcus cristatus	45634	22.99204	Healthy	Healthy-E01
Bacteroides pyogenes	310300	22.61163	Healthy	Healthy-E01
Abiotrophia defectiva	46125	22.5632	Healthy	Healthy-E01
Prevotella veroralis	28137	21.0355	Healthy	Healthy-E01
Streptococcus gordonii	1302	20.0	Healthy	Healthy-E01
Veillonella parvula	29466	20.0	Healthy	Healthy-E01
Filifactor alocis	143361	20.0	Healthy	Healthy-E01
Campylobacter concisus	199	20.0	Healthy	Healthy-E01
Alloprevotella tannerae	76122	20.0	Healthy	Healthy-E01
Leptotrichia goodfellowii	157692	20.0	Healthy	Healthy-E01
Prevotella oris	28135	20.0	Healthy	Healthy-E01
Actinomyces sp. oral taxon 180	651609	20.0	Healthy	Healthy-E01
Prevotella salivae	228604	20.0	Healthy	Healthy-E01
Capnocytophaga sp. oral taxon 329	706435	20.0	Healthy	Healthy-E01
Prevotella nigrescens	28133	20.0	Healthy	Healthy-E01
Aggregatibacter aphrophilus	732	20.0	Healthy	Healthy-E01
Alloprevotella rava	671218	20.0	Healthy	Healthy-E01
Fusobacterium sp. oral taxon 370	712288	20.0	Healthy	Healthy-E01
Actinomyces massiliensis	461393	20.0	Healthy	Healthy-E01
Selenomonas sp. oral taxon 138	712532	20.0	Healthy	Healthy-E01
Prevotella saccharolytica	633701	20.0	Healthy	Healthy-E01
Prevotella baroniae	305719	20.0	Healthy	Healthy-E01
Actinomyces timonensis	1288391	20.0	Healthy	Healthy-E01
Prevotella multisaccharivorax	310514	20.0	Healthy	Healthy-E01
Mycoplasma mycoides	2102	20.0	Healthy	Healthy-E01
Rothia mucilaginosa	43675	1437.26883	Healthy	Healthy-E02
Prevotella histicola	470565	779.22722	Healthy	Healthy-E02
Haemophilus parainfluenzae	729	642.80576	Healthy	Healthy-E02
Veillonella atypica	39777	615.68611	Healthy	Healthy-E02
Prevotella melaninogenica	28132	549.73848	Healthy	Healthy-E02
Streptococcus salivarius	1304	530.30776	Healthy	Healthy-E02
Veillonella dispar	39778	434.1822	Healthy	Healthy-E02
Prevotella pallens	60133	423.2233	Healthy	Healthy-E02
Prevotella sp. oral taxon 473	712469	401.95778	Healthy	Healthy-E02
Streptococcus parasanguinis	1318	355.4125	Healthy	Healthy-E02
Stomatobaculum longum	796942	347.69735	Healthy	Healthy-E02
Streptococcus mitis	28037	332.92628	Healthy	Healthy-E02
Actinomyces graevenitzii	55565	307.2923	Healthy	Healthy-E02
Neisseria mucosa	488	299.66781	Healthy	Healthy-E02
Leptotrichia wadei	157687	255.17043	Healthy	Healthy-E02
Veillonella sp. oral taxon 158	671228	254.18071	Healthy	Healthy-E02
Fusobacterium periodonticum	860	193.95955	Healthy	Healthy-E02
Porphyromonas sp. oral taxon 279	712438	193.26888	Healthy	Healthy-E02
Actinomyces sp. oral taxon 172	712118	191.88446	Healthy	Healthy-E02
Leptotrichia sp. oral taxon 215	712359	172.36365	Healthy	Healthy-E02
Streptococcus infantis	68892	165.00426	Healthy	Healthy-E02
Gemella sanguinis	84135	160.78755	Healthy	Healthy-E02
candidate division TM7 single-cell isolate TM7a	447454	153.35361	Healthy	Healthy-E02
Oribacterium sinus	237576	135.3318	Healthy	Healthy-E02
Leptotrichia shahii	157691	104.71954	Healthy	Healthy-E02
Actinomyces odontolyticus	1660	103.0645	Healthy	Healthy-E02
Corynebacterium matruchotii	43768	100.0	Healthy	Healthy-E02
Lachnospiraceae bacterium oral taxon 082	712976	99.99573	Healthy	Healthy-E02
Megasphaera micronuciformis	187326	97.26653	Healthy	Healthy-E02
Neisseria subflava	28449	90.79878	Healthy	Healthy-E02
Selenomonas sp. oral taxon 149	712535	82.81822	Healthy	Healthy-E02
Fusobacterium nucleatum	851	69.94137	Healthy	Healthy-E02
Peptostreptococcus stomatis	341694	60.0	Healthy	Healthy-E02
Tannerella sp. oral taxon BU063	712710	60.0	Healthy	Healthy-E02
Prevotella scopos	589437	56.15441	Healthy	Healthy-E02
Selenomonas sputigena	69823	55.43559	Healthy	Healthy-E02
