TaxName	species	Abundance_per_rank_RawFile	SampleCategory	RawFile
Corynebacterium matruchotii	43768	112.01302	Caries	Caries-E02
Actinomyces odontolyticus	1660	102.87098	Caries	Caries-E02
Megasphaera micronuciformis	187326	93.08817	Caries	Caries-E02
Neisseria subflava	28449	92.1518	Caries	Caries-E02
Leptotrichia shahii	157691	88.55733	Caries	Caries-E02
Lachnospiraceae bacterium oral taxon 082	712976	87.99701	Caries	Caries-E02
Selenomonas sp. oral taxon 149	712535	69.14861	Caries	Caries-E02
Fusobacterium nucleatum	851	62.59072	Caries	Caries-E02
Peptostreptococcus stomatis	341694	62.16739	Caries	Caries-E02
Tannerella sp. oral taxon BU063	712710	60.0	Caries	Caries-E02
Prevotella scopos	589437	53.39796	Caries	Caries-E02
Streptococcus australis	113107	49.47529	Caries	Caries-E02
Leptotrichia buccalis	40542	47.04194	Caries	Caries-E02
Granulicatella adiacens	46124	45.41135	Caries	Caries-E02
Atopobium parvulum	1382	45.12123	Caries	Caries-E02
Prevotella buccalis	28127	43.36885	Caries	Caries-E02
Porphyromonas gingivalis	837	40.0	Caries	Caries-E02
Gemella haemolysans	1379	40.0	Caries	Caries-E02
Selenomonas sputigena	69823	40.0	Caries	Caries-E02
Lachnoanaerobaculum saburreum	467210	40.0	Caries	Caries-E02
Polynucleobacter necessarius	576610	40.0	Caries	Caries-E02
Selenomonas flueggei	135080	25.46498	Caries	Caries-E02
Prevotella sp. oral taxon 299	652716	25.4196	Caries	Caries-E02
Streptococcus oligofermentans	195041	25.37194	Caries	Caries-E02
Prevotella sp. oral taxon 306	712461	24.61519	Caries	Caries-E02
Aggregatibacter aphrophilus	732	23.76168	Caries	Caries-E02
Bacteroides pyogenes	310300	23.22231	Caries	Caries-E02
Prevotella veroralis	28137	22.58862	Caries	Caries-E02
Mycoplasma mycoides	2102	22.15056	Caries	Caries-E02
Prevotella oris	28135	21.95512	Caries	Caries-E02
Prevotella salivae	228604	21.94028	Caries	Caries-E02
Actinomyces sp. oral taxon 180	651609	21.72653	Caries	Caries-E02
Neisseria meningitidis	487	20.0	Caries	Caries-E02
Streptococcus gordonii	1302	20.0	Caries	Caries-E02
Veillonella parvula	29466	20.0	Caries	Caries-E02
Filifactor alocis	143361	20.0	Caries	Caries-E02
Campylobacter concisus	199	20.0	Caries	Caries-E02
Abiotrophia defectiva	46125	20.0	Caries	Caries-E02
Alloprevotella tannerae	76122	20.0	Caries	Caries-E02
Leptotrichia goodfellowii	157692	20.0	Caries	Caries-E02
Streptococcus cristatus	45634	20.0	Caries	Caries-E02
Lachnospiraceae bacterium oral taxon 500	712991	20.0	Caries	Caries-E02
Capnocytophaga sp. oral taxon 329	706435	20.0	Caries	Caries-E02
Prevotella nigrescens	28133	20.0	Caries	Caries-E02
Alloprevotella rava	671218	20.0	Caries	Caries-E02
Fusobacterium sp. oral taxon 370	712288	20.0	Caries	Caries-E02
Actinomyces massiliensis	461393	20.0	Caries	Caries-E02
Selenomonas sp. oral taxon 138	712532	20.0	Caries	Caries-E02
Prevotella saccharolytica	633701	20.0	Caries	Caries-E02
Prevotella baroniae	305719	20.0	Caries	Caries-E02
Actinomyces timonensis	1288391	20.0	Caries	Caries-E02
Mycoplasma salivarium	2124	20.0	Caries	Caries-E02
Prevotella multisaccharivorax	310514	20.0	Caries	Caries-E02
Rothia mucilaginosa	43675	1259.11473	Caries	Caries-E03
Prevotella histicola	470565	691.40164	Caries	Caries-E03
Haemophilus parainfluenzae	729	610.40187	Caries	Caries-E03
Veillonella atypica	39777	593.52755	Caries	Caries-E03
Streptococcus salivarius	1304	538.9155	Caries	Caries-E03
